Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,,,,,,,,,,,0.995221919352039,,,,,,,,,,0.9977228420086709,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,0.38778479774765,,,,,,
AGO,,,,,,,,,,,,0.6535766340440747,,,,,,,,,,,,,0.6678059125959135,,,
ALB,,,,,,,,,,,,0.9905700593039644,,,,,,,0.9730295736478827,,,0.9763623679043646,0.9774633583068291,,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
ARE,,,,,,,,,,,,,,,,1.0222686462201174,,,,,,,,,,,,
ARG,,0.9981302600318994,,,,,,,,,,1.0000021978904063,,,,,,,,,,,,,,1.0009179552137442,,
ARM,,,,,,,,,,,,0.9948715727375597,,,,,,,,,,0.9988404485404812,,,,,,
ATG,,,,,,,,,,,,1.0103658193510192,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,0.9869547966824195,,,,,,,,0.9957313175121042,,0.9983923221863171,0.9983795229137836,0.9984808698627585,0.9984978506152706,0.9985069855814964,0.9985745405677613,0.998543073159665,0.9985530255645899,
BDI,0.5707180729344824,,,,,,,,,,0.7761126264546487,,,,,,,,0.8123187506407625,,,,,,0.7843457891140966,,,
BEN,,,0.4151341996241884,,,,,,,,,,0.4867789298287658,,,,0.4540780113723074,,,,,,0.4914090898705171,,,,,
BFA,,0.4191060535745022,,,,,0.43514802001878644,,,,,,,0.5172934590107553,,0.5286647372768832,0.5482578276882166,0.588309040586165,,,,,,,0.5908195830742772,,,
BGD,,0.5830847047203821,,,,,,,,,,0.7574454453770143,,,,,,0.877760473839224,,,,0.9851076796427382,,,,,0.9243357775702962,
BGR,,,,,,,,,,,,0.9895670583046567,,,,,,,,,,0.9922698738394684,,,,,,
BHR,,0.8689248473133725,,,,,,,,,,0.9435747366048751,,,,,,,,,0.9529057814665829,,,,,,,
BIH,,0.8510354637161941,,,,,,,,,0.9528062995200824,,,,,,,,,,,0.9724976797760424,,0.9569878468706982,,,,
BLR,,,,,,,,,,0.9962684110740272,,,,,,,,,,0.9972966206667107,,,,,,,,
BLZ,,1.0008485095360853,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,0.8202908090603606,,,,,,,,,0.8667157925873525,,,,,,0.8953486608357599,0.9144474391963855,0.9062438008913499,,0.9117933913483837,0.9461029862798106,,,0.9177407613222827,,
BRA,,,,,,,,,,,1.0031552616105148,,,,1.004486708448579,,1.0056220663576005,1.0050780963610864,1.004248579798272,1.002621284413499,1.0069458728999476,1.0050912570523904,1.0065830648743732,1.0064379369642875,1.0075930066926648,,,
BRN,,0.891935173957678,,,,,,,,,,0.947568611360536,,,,,,,,,,0.9715104904593601,,,,,,
BTN,,,,,,,,,,,,,,,,0.5946499407899113,,,,,,,0.7274899079492503,,,,,
BWA,,1.0904201987430517,,,,,,,,,,,,1.0171309700973576,,,,,,,,,,,,,,
CAF,,,,,,,,,,,0.5283897385548655,,,,,,,,,,0.48026400267800473,,,,,,,
CHL,,,0.9944337727428444,,,,,,,,,,0.9983769806130212,,,,,,1.000952652624771,0.9988244162771974,,0.9962014742921922,,0.9976526402566768,,,,
CHN,0.7822131482685761,,,,,,,,,,0.9095115331423725,,,,,,,,,,0.951084729354148,,,,,,,
CIV,,,,,,,,,0.6479861184028821,,0.6344740466343822,,,,,,,,,,,,0.5904272690328297,,0.7255003856218369,,,
CMR,,,,,,,,,,,0.7414876750541346,,,,,,,0.798253239747099,,,0.8272872519376677,,,,,,,
COG,,,,,,,,,,,,,,,,,,,,,,0.8431496609706702,,,,,,
COL,,,,1.001926372134484,,,1.002469003216243,,,,,,,,0.9979603566866087,1.0014367722618553,0.9981361851664247,1.0044998136700705,1.0012697823901415,1.0037887691117096,1.0025372901454441,1.0019133008052328,,,1.0065758310407562,1.0037490323235847,,
COM,,,,,,,,,,,0.8516384340002154,,,,,,,,,,,,0.7549121997458136,,,,,
CPV,0.708923713214266,,,,,,,,,,,,,,,,,,,,,,0.8897116996760197,,,0.8947642654547532,,
CRI,,,,,,,,,,,1.0045494966163666,,,,,,,,,,,1.0019945688461187,,,,,,
CUB,,,,,,,,,,,,,0.9998357277671364,,,,,,,,,,1.0009409524136947,,,,,
CYM,,,,,,,,,,,,,,,,,,1.0030295815606074,,,,,,,,,,
CYP,,,0.9301975824784484,,,,,,,,,0.963993243093622,,,,,,,,,,0.9882166657409737,,,,,,
DOM,,,,,,,,,,,,,1.0042169025363565,,,,,1.0007597379522792,,,1.0035833221884591,1.0026733613154581,1.0015468006087602,1.0087596470438993,1.0084948904585358,1.0073141726043036,,
DZA,,,,,,,,,,,,,0.758651231651764,,,,0.786363313808991,,0.8176247339627817,,,,,,,,,
ECU,0.9524464378311331,,,,,,,,,,,0.9715138666238828,,,,,,0.9360667621352622,,0.9349456195915256,0.9694935807430161,0.969568764422752,0.9753088025584781,0.9766202572063755,0.9789694452845892,0.974201458167315,0.9776783209599613,
EGY,,,,,,,0.6492055869381369,,,,,,,,,0.3709814670391993,0.7747321316140674,,,,0.7912903865363609,,0.8050598274729334,0.8129873952801195,,,,
ERI,,,,,,,,,,,,,0.6151451892409439,,,,,,0.7299761756231593,,,,,,,,,
