,min labor participation,mean total labor participation,max labor participation,min female labor participation,predicted min female labor participation,mean female labor participation,max female labor participation,predicted max female labor participation,coeff,pval
1990,35.40599823,66.47193193494448,91.54199982,8.116000175,40.07980383015974,48.22181172174444,90.78399658,54.792375236794946,0.2620879825765162,0.000379254194923602
1991,35.91400146,66.55753552033332,91.10900116,8.18200016,40.32646584334523,48.41179402615001,90.34500122,54.889723649891366,0.2638510351608197,0.00034503857363270366
1992,36.26599884,66.61217383827776,90.58999634,8.251999855,40.34490284409169,48.55120054292777,89.84500122,55.03535051010323,0.2704228028508309,0.00024115796851954693
1993,36.25400162,66.63176813583328,89.98699951,8.324999809,40.45436081679075,48.618906417716666,89.28299713,54.89602529264029,0.26876714575676436,0.00026416056356059006
1994,36.60699844,66.70034954866668,89.33499908,8.397999763,40.8037719974999,48.82145188562777,88.66500092,54.85193262759904,0.2664269545513937,0.0003001669524199486
1995,36.24900055,66.71291394344443,88.61499786,8.472000122,40.56281746492006,48.92575820906665,87.99299622,54.9383091115681,0.27451958112335706,0.00019200297567462574
1996,36.06999969,66.73323907894445,88.55000305,8.557999611,40.55104106653798,49.083245675338894,87.26200104,55.153872843650284,0.2782551608646145,0.00015548201550422315
1997,36.29299927,66.73925811800002,88.48899841,8.644000053,40.642876144917125,49.255478507016626,86.92500305,55.408019794572375,0.2828788392392339,0.00011924887524888177
1998,36.35200119,66.80859294311108,88.69300079,9.229000092,40.58270153174639,49.447343635511125,87.22299957,55.8169809471343,0.2910582436677024,7.3730137914742e-05
1999,36.34700012,66.84974262383334,88.91200256,9.850000381000001,40.75861154089051,49.66508830033887,87.44799805,56.10703381909617,0.2919893763103126,6.973774820057023e-05
2000,35.97600174,66.81300192327778,88.94300079,10.50699997,40.65142628943455,49.76036517894444,87.61100006,56.297343682165014,0.2953899158598916,5.6814586862405184e-05
2001,35.64799881,66.90564475322223,88.73600006,11.20100021,40.207574687723174,49.99031240733333,87.70400238,56.822581244213346,0.31297103234773177,1.88872502851813e-05
2002,35.48300171,66.94039352211108,88.38099670000001,11.93099976,40.071916597639216,50.161499723000006,87.74700165,57.038317397944674,0.3207380696284015,1.1350115815650208e-05
2003,35.27600098,67.01873272144444,87.96900177,11.90200043,39.95955185097036,50.33043856583337,87.74400329999999,57.175245393368996,0.32671689378650476,7.5951677680871475e-06
2004,35.02000046,67.10832024844444,87.94100189,12.04899979,39.822937182970016,50.49004541016666,87.42299652,57.41544602940483,0.33242962852290103,5.132912228775634e-06
2005,34.74900055,67.3105653914444,87.89399719,12.20100021,39.971867347207755,50.792134908722225,87.05400085,57.632046948547796,0.3323018292948385,5.178550811069118e-06
2006,34.625,67.50939760594446,88.51300049,12.54300022,39.735558163527294,51.087241058166654,86.63200378,58.33767764641759,0.34519966066178853,2.0770760936978484e-06
2007,34.21099854,67.65249301577781,89.07099915,12.46199989,39.576103434345455,51.29095652750002,86.15699768,58.794049818351134,0.3503088984746127,1.429941073251454e-06
2008,34.12200165,67.76138062983331,89.56500244,11.60000038,39.576125278294384,51.4501819948889,86.19000244,59.1464430393126,0.35298085388891914,1.173239499770692e-06
2009,34.42300034,67.77912682044445,89.99099731,10.79699993,39.93854234284756,51.53553047033335,86.6989975,59.25797385738683,0.34767190771640416,1.7352235628981455e-06
2010,34.38800049,67.76462411394441,90.33999634,10.04899979,39.96244000127585,51.543662169333324,87.11799622,59.3770009822197,0.34698603125779015,1.8242681625292713e-06
2011,34.0,67.85800162244446,89.98400116,8.847999573,39.93198388218333,51.652619856961145,86.86100006,59.31198466678148,0.3461703412232163,1.9358357337731332e-06
2012,33.95500183,68.0078101247222,89.55500031,7.8000001910000005,40.11279237401222,51.86392036656111,86.55300140000001,59.299541756595964,0.3450854299840575,2.094328567959906e-06
2013,34.05899811,68.13586115127777,89.02999878,6.883999825,40.13312425534804,51.9438255329722,86.22399902,59.18552550070349,0.3465900386229126,1.8776431320941138e-06
2014,33.95500183,68.26518423638886,88.41300201,6.084000111,40.070334984166166,52.03084685250553,86.18599701,59.054365723613095,0.34859948357815235,1.6213684992349037e-06
2015,33.81399918,68.43588175411112,88.08799744,6.132999897,40.441399773680516,52.16126172753887,86.13300323,58.8137042238951,0.33851024503855276,3.353125886686766e-06
2016,33.4469986,68.5338916501111,89.08799744,6.171000004,40.31227037358929,52.207551239688875,86.05300140000001,59.1758758779822,0.33902348803328763,3.2334173619196106e-06
2017,33.39500046,68.62426606666672,88.91899872,5.998000145,40.19599161950236,52.20812355808335,86.03500366,59.128023876525816,0.34097026241466233,2.8152666668264665e-06
