"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.654228210449","98.1132125854492","100.213737487793","103.142601013184","101.402397155762","97.2413787841797","96.1139221191406","96.7975234985352","104.0625","97.9532928466797","99.1279067993164","98.2942428588867","99.731330871582","112.145751953125","","","","","",
"Afghanistan","AFG","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","2.22744011878967","2.35142993927002","2.3860399723053","2.66314005851746","2.6408998966217","2.69413995742798","3.10330009460449","3.70726990699768","4.03531980514526","","","7.91369009017944","6.54292011260986","","7.81817007064819","8.21697998046875","8.07680988311768","","8.71730995178223","","","10.7509899139404","","8.78050994873047","9.7125301361084","11.8041896820068","","","","","","0","","6.60447978973389","6.14205980300903","9.3116397857666","15.3105297088623","15.7788696289063","23.1669807434082","29.386510848999","34.2959518432617","37.822868347168","39.4017791748047","39.1384391784668","38.5656509399414","38.5661201477051","","39.7491989135742",
"Angola","AGO","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","4.06689977645874","4.73482990264893","","","","","","","","","","5.73131990432739","5.28198003768921","","","","","","","","","","","","","","","9.44089984893799","9.25302028656006","11.0623998641968","12.1789503097534","13.6084203720093","","","","","","18.476900100708","19.6004905700684","21.245080947876","20.6815891265869","","","","","","",
"Albania","ALB","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","","","","","","81.1772613525391","","82.493293762207","84.5577163696289","85.2983322143555","86.0556106567383","82.7631072998047","79.3740921020508","79.465087890625","81.334846496582","84.16259765625","84.3162536621094","85.2721176147461","85.479850769043","86.1173324584961","87.0953369140625","78.2565231323242","72.2086791992188","69.4449310302734","68.3632202148438","67.6442413330078","68.2994079589844","","70.0049667358398","69.711311340332","71.4423904418945","","","73.28466796875","76.3579177856445","77.9711990356445","81.6880874633789","83.9005279541016","86.9212188720703","88.1384506225586","89.0690994262695","90.9165191650391","93.1228332519531","92.5069198608398","92.0359802246094","91.4619598388672","",
"Andorra","AND","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","15.4860801696777","16.4095401763916","13.5600900650024","21.4634094238281","27.8287506103516","47.3752708435059","","","","","","","52.0475006103516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","17.90607","17.81074","18.57544","19.4418","20.37049","21.49333","23.14147","25.02504","26.68957","28.19223","29.36616","30.46197","32.12456","33.52533","34.9788","36.64018","38.58801","39.97902","40.83329","41.79921","44.95667","45.52737","45.18432","46.09778","48.06779","48.69135","48.80679","50.37419","52.22416","54.15307","55.6216","57.14761","58.56998","60.58392","62.31255","62.63154","62.63031","61.82179","62.22747","63.74011","64.8794","67.46327","68.388","66.85776","67.16689","67.45917","67.78424","",
"United Arab Emirates","ARE","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","","","13.4049997329712","15.7876100540161","18.9242992401123","25.5257396697998","28.7473297119141","32.2566299438477","36.234001159668","42.7009811401367","48.6745910644531","53.6474304199219","56.427791595459","59.979621887207","62.902660369873","64.668327331543","61.3453102111816","61.1683502197266","62.7632293701172","65.5103607177734","69.7756805419922","72.2609176635742","75.3797302246094","79.8361968994141","82.7380294799805","","82.2166900634766","83.1467895507813","","","","","","","","","","","","","","","","","","92.9848403930664","",
"Argentina","ARG","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","47.3772201538086","48.1955909729004","49.5698890686035","52.2940216064453","55.2130699157715","57.22412109375","58.8508682250977","59.1769981384277","59.3416595458984","59.0173683166504","60.1651306152344","61.6269187927246","62.2705993652344","61.8115997314453","68.3619232177734","74.0646362304688","73.5714569091797","72.6567535400391","73.3192291259766","","","","","","","","82.3877182006836","78.5996398925781","83.8086166381836","96.3872222900391","99.50927734375","100.512031555176","99.5074310302734","98.9970779418945","99.3970794677734","98.3807067871094","98.2629928588867","99.0632781982422","101.036392211914","104.407432556152","106.633232116699","108.819519042969","109.76912689209","110.277900695801","110.307342529297","110.215858459473","","",
"Armenia","ARM","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.5084915161133","","","","","","","96.6457977294922","94.5728302001953","98.9646606445313","","","","","","88.361930847168","","",
"American Samoa","ASM","School enrollment, secondary, female (% gross)","SE.SEC.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
